date,open,high,low,close
1619827200000.0,0.13228,0.13272,0.13134,0.13257
1619827500000.0,0.13261,0.13307,0.13241,0.13244
1619827800000.0,0.13244,0.13295,0.1323,0.13291
1619828100000.0,0.13291,0.13293,0.13216,0.13221
1619828400000.0,0.13226,0.13227,0.13181,0.13212
1619828700000.0,0.13211,0.13261,0.13188,0.13248
1619829000000.0,0.13247,0.13257,0.13197,0.13218
1619829300000.0,0.13217,0.1322,0.13154,0.13163
1619829600000.0,0.13162,0.13167,0.13122,0.13146
1619829900000.0,0.13145,0.13188,0.13131,0.13148
1619830200000.0,0.13147,0.13165,0.13087,0.13126
1619830500000.0,0.13126,0.13172,0.13111,0.13126
1619830800000.0,0.13126,0.13126,0.13025,0.13038
1619831100000.0,0.13038,0.13052,0.12977,0.13004
1619831400000.0,0.13001,0.13033,0.12991,0.13003
1619831700000.0,0.13002,0.13063,0.13,0.13019
1619832000000.0,0.13017,0.13074,0.13013,0.13071
1619832300000.0,0.13073,0.13078,0.13028,0.13052
1619832600000.0,0.13051,0.13078,0.13024,0.13078
1619832900000.0,0.13078,0.13133,0.13069,0.13102
1619833200000.0,0.13103,0.1316,0.13101,0.13157
1619833500000.0,0.13156,0.1317,0.13123,0.13153
1619833800000.0,0.13152,0.1317,0.13115,0.13157
1619834100000.0,0.13157,0.1319,0.13139,0.1319
1619834400000.0,0.13189,0.1322,0.13169,0.13216
1619834700000.0,0.13216,0.13227,0.13184,0.13225
1619835000000.0,0.13226,0.13242,0.13206,0.13227
1619835300000.0,0.13228,0.1327,0.13227,0.13263
1619835600000.0,0.13265,0.13271,0.13254,0.1327
1619835900000.0,0.1327,0.13289,0.13252,0.13289
1619836200000.0,0.13289,0.1332,0.13252,0.13263
1619836500000.0,0.13266,0.13277,0.13223,0.13253
1619836800000.0,0.13254,0.13277,0.1325,0.13261
1619837100000.0,0.13261,0.13268,0.13204,0.13209
1619837400000.0,0.13209,0.13216,0.13149,0.13176
1619837700000.0,0.13176,0.13214,0.13168,0.13192
1619838000000.0,0.1319,0.13244,0.1319,0.13236
1619838300000.0,0.13235,0.13239,0.13202,0.13207
1619838600000.0,0.13207,0.13247,0.13206,0.13238
1619838900000.0,0.13238,0.133,0.13237,0.13283
1619839200000.0,0.13282,0.13334,0.13282,0.1333
1619839500000.0,0.1333,0.1335,0.13318,0.13346
1619839800000.0,0.13345,0.13349,0.13288,0.13317
1619840100000.0,0.13317,0.13323,0.13268,0.13291
1619840400000.0,0.13288,0.13318,0.13256,0.13297
1619840700000.0,0.13295,0.13296,0.13261,0.13264
1619841000000.0,0.13267,0.13275,0.13238,0.13269
1619841300000.0,0.13267,0.13318,0.13263,0.13311
1619841600000.0,0.13311,0.13329,0.1326,0.13262
1619841900000.0,0.13262,0.133,0.13262,0.133
1619842200000.0,0.13299,0.13301,0.13253,0.13258
1619842500000.0,0.13258,0.13272,0.13207,0.13229
1619842800000.0,0.13233,0.13233,0.13191,0.13214
1619843100000.0,0.13215,0.13222,0.13158,0.13191
1619843400000.0,0.13191,0.13197,0.13148,0.13161
1619843700000.0,0.13161,0.13163,0.1311,0.13126
1619844000000.0,0.13126,0.13142,0.13111,0.13118
1619844300000.0,0.13115,0.13147,0.13105,0.1314
1619844600000.0,0.1314,0.13163,0.1312,0.1316
1619844900000.0,0.1316,0.13174,0.13128,0.13138
1619845200000.0,0.13136,0.13153,0.13101,0.13107
1619845500000.0,0.13106,0.13141,0.13101,0.1312
1619845800000.0,0.13125,0.13172,0.13116,0.13171
1619846100000.0,0.13171,0.13195,0.13162,0.13187
1619846400000.0,0.13188,0.13229,0.13187,0.13206
1619846700000.0,0.13207,0.13229,0.13188,0.13208
1619847000000.0,0.13208,0.13235,0.13208,0.13222
1619847300000.0,0.13221,0.13247,0.13221,0.13243
1619847600000.0,0.13243,0.13245,0.13214,0.13223
1619847900000.0,0.13223,0.13246,0.13222,0.13245
1619848200000.0,0.13244,0.13247,0.13215,0.13246
1619848500000.0,0.13246,0.13286,0.13243,0.13282
1619848800000.0,0.13281,0.13281,0.13197,0.13198
1619849100000.0,0.13198,0.13227,0.13191,0.13203
1619849400000.0,0.13203,0.13204,0.13173,0.13192
1619849700000.0,0.13193,0.13207,0.13185,0.13202
1619850000000.0,0.13202,0.1321,0.13186,0.132
1619850300000.0,0.132,0.13237,0.132,0.13226
1619850600000.0,0.13225,0.13234,0.1319,0.13207
1619850900000.0,0.13207,0.13225,0.13191,0.13196
1619851200000.0,0.13195,0.132,0.13141,0.13167
1619851500000.0,0.13165,0.13174,0.1313,0.1315
1619851800000.0,0.1315,0.132,0.13149,0.1318
1619852100000.0,0.1318,0.13188,0.13133,0.13139
1619852400000.0,0.13138,0.13199,0.13136,0.1317
1619852700000.0,0.13174,0.13189,0.13102,0.13104
1619853000000.0,0.13103,0.1311,0.13043,0.13061
1619853300000.0,0.13061,0.13133,0.13061,0.13117
1619853600000.0,0.13116,0.13136,0.131,0.13128
1619853900000.0,0.13127,0.13133,0.131,0.13114
1619854200000.0,0.13115,0.1315,0.13084,0.13098
1619854500000.0,0.13092,0.13117,0.13049,0.1306
1619854800000.0,0.1306,0.13101,0.13025,0.13028
1619855100000.0,0.13028,0.13066,0.13001,0.1305
1619855400000.0,0.13051,0.13067,0.13001,0.13035
1619855700000.0,0.13034,0.13054,0.13,0.13038
1619856000000.0,0.13041,0.13059,0.13036,0.13057
1619856300000.0,0.13058,0.13114,0.13056,0.13101
1619856600000.0,0.13101,0.13108,0.13082,0.13087
1619856900000.0,0.13087,0.131,0.13052,0.13069
1619857200000.0,0.13069,0.1307,0.13031,0.1305
1619857500000.0,0.13048,0.13108,0.13043,0.13088
1619857800000.0,0.13088,0.13088,0.13021,0.13026
1619858100000.0,0.13026,0.13031,0.12989,0.1299
1619858400000.0,0.12991,0.12994,0.12911,0.12945
1619858700000.0,0.12945,0.12979,0.12928,0.12965
1619859000000.0,0.12964,0.13013,0.12955,0.12966
1619859300000.0,0.12967,0.12986,0.1293,0.12931
1619859600000.0,0.12931,0.1295,0.12789,0.12819
1619859900000.0,0.12819,0.1288,0.12739,0.12832
1619860200000.0,0.12832,0.12861,0.128,0.12813
1619860500000.0,0.12813,0.12838,0.12764,0.12794
1619860800000.0,0.12794,0.12921,0.12793,0.12921
1619861100000.0,0.12921,0.1293,0.12896,0.12918
1619861400000.0,0.12914,0.12989,0.12913,0.12979
1619861700000.0,0.12976,0.12996,0.12957,0.12983
1619862000000.0,0.12977,0.13005,0.12967,0.13003
1619862300000.0,0.13003,0.13003,0.12933,0.12947
1619862600000.0,0.12947,0.12989,0.12892,0.12902
1619862900000.0,0.12902,0.12977,0.12902,0.12966
1619863200000.0,0.12969,0.12984,0.12905,0.12939
1619863500000.0,0.1294,0.12964,0.12908,0.12939
1619863800000.0,0.12938,0.1294,0.129,0.12904
1619864100000.0,0.12905,0.12923,0.12867,0.1292
1619864400000.0,0.1292,0.1295,0.12899,0.1292
1619864700000.0,0.1292,0.12967,0.12919,0.12964
1619865000000.0,0.12964,0.12987,0.12964,0.12986
1619865300000.0,0.12984,0.12985,0.1295,0.12979
1619865600000.0,0.1298,0.12999,0.12968,0.12982
1619865900000.0,0.12979,0.12983,0.12951,0.1296
1619866200000.0,0.1296,0.13023,0.12956,0.12998
1619866500000.0,0.13,0.13013,0.12972,0.12986
1619866800000.0,0.12987,0.13026,0.12987,0.13004
1619867100000.0,0.13004,0.13021,0.12999,0.13021
1619867400000.0,0.13021,0.13046,0.13013,0.13046
1619867700000.0,0.13044,0.13077,0.13043,0.13056
1619868000000.0,0.1306,0.13067,0.13038,0.13052
1619868300000.0,0.13052,0.13052,0.13037,0.13042
1619868600000.0,0.13041,0.13046,0.13003,0.1303
1619868900000.0,0.13027,0.13048,0.13015,0.13029
1619869200000.0,0.13029,0.13072,0.13015,0.13017
1619869500000.0,0.1302,0.13039,0.13015,0.13027
1619869800000.0,0.13027,0.1305,0.13017,0.13047
1619870100000.0,0.13046,0.13063,0.13029,0.13046
1619870400000.0,0.13047,0.13059,0.1301,0.1302
1619870700000.0,0.1302,0.13065,0.13019,0.13032
1619871000000.0,0.13035,0.13037,0.1301,0.13014
1619871300000.0,0.13015,0.13019,0.12987,0.13
1619871600000.0,0.13001,0.1301,0.12992,0.13001
1619871900000.0,0.13,0.13023,0.12996,0.13009
1619872200000.0,0.13009,0.13025,0.12951,0.12974
1619872500000.0,0.12974,0.1299,0.12962,0.1297
1619872800000.0,0.12969,0.12986,0.12955,0.12963
1619873100000.0,0.12964,0.12989,0.12961,0.12987
1619873400000.0,0.12987,0.13007,0.12971,0.12971
1619873700000.0,0.1297,0.12976,0.12948,0.1295
1619874000000.0,0.1295,0.12979,0.12943,0.12978
1619874300000.0,0.12978,0.12993,0.12961,0.12986
1619874600000.0,0.12985,0.13,0.12973,0.12976
1619874900000.0,0.12975,0.13005,0.12959,0.12991
1619875200000.0,0.12992,0.12992,0.12964,0.12971
1619875500000.0,0.1297,0.12989,0.12953,0.12969
1619875800000.0,0.12969,0.12975,0.12923,0.12935
1619876100000.0,0.12932,0.1294,0.1291,0.12914
1619876400000.0,0.12914,0.12941,0.12905,0.12909
1619876700000.0,0.12909,0.12956,0.12904,0.12904
1619877000000.0,0.12903,0.1295,0.12902,0.12927
1619877300000.0,0.12927,0.12945,0.12912,0.12927
1619877600000.0,0.12927,0.12938,0.12894,0.12895
1619877900000.0,0.12895,0.12898,0.12842,0.12858
1619878200000.0,0.12858,0.12878,0.12826,0.12866
1619878500000.0,0.12867,0.12908,0.12867,0.12885
1619878800000.0,0.1289,0.12922,0.1288,0.12913
1619879100000.0,0.12914,0.12921,0.12886,0.12912
1619879400000.0,0.12911,0.12946,0.12882,0.12936
1619879700000.0,0.12932,0.12938,0.12883,0.12885
1619880000000.0,0.12887,0.12904,0.12865,0.12874
1619880300000.0,0.12873,0.12909,0.12862,0.12903
1619880600000.0,0.12905,0.12905,0.12845,0.12849
